nombre,sexo,edad,tamaño,especie,descripcion,protectora,ubicación,peso,nivel_actividad,mi_historia,url,origen,cluster
Kally,Female,Adult,Medium,Dog,"Good with other dogs, Affectionate, Shy",Red de Protección Animal Perros del AlmaProtectora,"Buenos Aires, Argentina",0 kg,Undetermined,Es tímida y dulce. Convive con otros perros sin problemas.,https://petshelter.miwuki.com/c/QWJK8Amvt3,miwuki,2
Adam,Male,Puppy,Large,Dog,"Good at home, Good in the car, Good with cats, Good with children, Good with other animals, Good with other dogs, Good with people, Good temperament, Affectionate, Likes company, Sleepy, Playful, Obedient, Likes to walk, Shy",Vidas PeludasProtectora,"Granada, España",kg,High,"Adam fue cedido por un galguero….. Es un perrillo precioso aunque no ha debido tener una vida fácil. La familia que lo adopte tiene que estar preparada para darle a Adam toda la estabilidad y seguridad que un galguito necesita, y debe conocer o informarse previamente de la raza. Adam tiene algunos miedos y no los sabe gestionar bien, y se estresa solo cuando está solo en casa. Pero es un perrillo obediente, cariñoso y fabuloso además de un bellezón. Adam necesita urgentemente un hogar, una protectora no es el lugar adecuado para que crezca un galguito como Adam.",https://petshelter.miwuki.com/c/RwRCnxwkea,miwuki,0
Nala,Female,Puppy,Small,Dog,"Good with children, Good with other animals, Good with other dogs, Good with people, Affectionate, Obedient",Animales Abandonados GranadaProtectora,"Granada, España",7 kg,Medium,"NALA FUE DEJADA EN LA PUERTA DE EL REFUGIO, ES UNA CACHORRITA PRECIOSA BUENA OBEDIENTE...? SE LLEVA BIEN CON TODOS SUS COMPAÑEROS NO TIENE PROBLEMA CON NINGUNO. TODOS NUESTROS ANIMALES SE ENTREGAN CASTRADOS/ESTERILIZADOS CON CHIO PASAPORTE VACUNAS Y DESPARASITADOS",https://petshelter.miwuki.com/c/yjNh9eIwqa,miwuki,2
Mireia,Female,Adult,Medium,Dog,"Good at home, Good with other animals, Good with other dogs, Good with people, Affectionate, Likes company, Likes to walk",Spax Protectora De Animales De XàtivaProtectora,"Valencia, España",20 kg,Medium,"Esta perrita entró en el refugio junto a su hermana Gabina. Probablemente, como otros tantos, haya sido maltratada pues al principio no había forma de tocarla. Ahora ha recuperado la confianza y, aunque sigue siendo algo tímida con los desconocidos, se muestra muy cariñosa con los voluntarios y tan solo busca que mimos. Se lleva genial con el resto de perros del refugio. Ahora se encuentra de acogida y están encantados con ella por lo bien que se porta. Se entrega con chip, pasaporte europeo, vacuna antirrábica, esterilizada y contrato de adopción",https://petshelter.miwuki.com/c/2sL9QlXPA3,miwuki,0
Melvin,Male,Young,Large,Dog,"Good with children, Good with other dogs, Good with people, Affectionate, Likes to walk",ABYDA JaénProtectora,"Jaén, España",0 kg,Medium,"Melvin es un perrazo con alma de cachorro. Puede parecer imponente pero en cuanto recibe unas cuantas caricias se derrite y le encanta comerse a besos a los voluntarios. Es activo y le gusta correr y jugar con sus compañeras, en paseo es muy tranquilo y se adapta al ritmo. Si quieres darle la oportunidad que se merece escribe a abyda.adopciones@hotmail.com. Necesita licencia PPP",https://petshelter.miwuki.com/c/uD7cBRHAox,miwuki,2
Wangwang,Male,Adult,Small,Dog,"Good at home, Good with cats, Good with children, Good temperament, Affectionate, Likes company, Likes to walk, Protective",Jiajia C.Particular,"Castellón, España",0 kg,Undetermined,"Una mascota leal, deportiva, fuerte, cariñoso, algo celoso y protector. Pero siempre obedece órdenes y nunca decepciona cuando esperas algo de él. Su punto fuerte es que es muy fiel, inteligente y cariñoso.

Busca a alguien capaz de cuidarle bien y darle una vida que se merece.",https://petshelter.miwuki.com/c/I1RW7ExnnF,miwuki,0
Rabote,Male,Adult,Unknown,Dog,Descripción no disponible,Centro Zoosanitario Municipal De AlmeríaProtectora,"Almería, España",kg,High,Historia no disponible,https://petshelter.miwuki.com/c/Ehz8VoQADF,miwuki,5
Sammy,Female,Adult,Unknown,Dog,"Good at home, Good with children, Good with other animals, Good with other dogs, Good with people, Good temperament, Affectionate, Likes company, Independent, Playful, Obedient, Likes to walk",Laia B.Particular,"Barcelona, España",kg,High,"Hola, soy Sammy, una preciosa perra pastor alemán de casi 7 años (cumplo en mayo). Soy muy buena, sociable y cariñosa, y siempre he vivido en una casa con terreno, donde he podido correr y jugar libremente.
Por motivos familiares, mi familia tiene que mudarse a un piso donde no pueden tenerme, por lo que buscamos un nuevo hogar para mí. Necesito una familia que tenga espacio y tiempo para cuidarme y quererme.
✅ Vacunas al día
✅ Esterilizada
✅ Muy sociable y cariñosa
📩 620849159 (Laia)",https://petshelter.miwuki.com/c/Va38JfjeIW,miwuki,0
Rita,Female,Young,Medium,Dog,"Good with other dogs, Good with people",Huellitas en el CorazónProtectora,"Guanajuato, México",20 kg,Medium,"Es una perrita cariñosa. Su pelo es corto de color beige. Convive muy bien con otros perros. Se entrega desparacitada interna y externamente, esterilizada y vacunada contra la rabia.",https://petshelter.miwuki.com/c/1VhCagxK6F,miwuki,2
Noa,Female,Adult,Unknown,Dog,"Good in the car, Good with children, Good with other animals, Good with other dogs, Good with people, Good temperament, Affectionate, Likes company, Playful, Obedient, Likes to walk",Nuria J.Particular,"Barcelona, España",20 kg,Medium,"Noa es una perrita de 7 años muy cariñosa, divertida y obediente.
Le encanta jugar con otros perros y se lleva bien con cualquier persona.
Está esterilizada, tiene chip y todas sus vacunas al día.
En casa necesita cierto espacio al aire libre, ya sea una terraza, patio, terreno o jardín para estar a gusto.
Por necesidades familiares la nueva vivienda de la familia no dispone de terraza ni jardín y por este motivo se busca un nuevo hogar para Noa, en el que se encuentre bien.",https://petshelter.miwuki.com/c/qObX0SFSVd,miwuki,0
Harpo,Male,Unknown,Large,Dog,"Good with other dogs, Good with people",MASFProtectora,"Sevilla, España",12 kg,Medium,Historia no disponible,https://petshelter.miwuki.com/c/3gFDNYm7ep,miwuki,2
